n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,375,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0063,PCARFC,250,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.0016259042553867207
3000,500,0.02,0.39599999999999996,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.0017673303129375087
3000,500,0.02,0.324,6.000000000000001e-05,38.88,27.72,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,PCARFC,202.5,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.0028774830602146966
3000,500,0.02,0.4356,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.0015900051645391933
3000,500,0.02,0.324,6.000000000000001e-05,38.88,27.72,33.0,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,PCARFC,202.5,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.002296729230931273
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,312,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.0017646027761366926
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.00174392139175048
3000,500,0.02,0.47916,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.0018473732249229089
3000,500,0.02,0.324,6.000000000000001e-05,38.88,27.72,27.0,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,PCARFC,202.5,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.0018466302453776333
3000,500,0.02,0.324,6.000000000000001e-05,38.88,27.72,24.3,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,PCARFC,202.5,False,1.5,1.2,../res/2025-01-04 11:58:25.csv,2,3,0.00212697595262103
