N,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,matrix_conceptor,47.52,28,33.0,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002135303100722741
250,matrix_conceptor,47.52,28,27.0,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023528416774900723
250,matrix_conceptor,47.52,28,24.3,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002372649313159472
250,matrix_conceptor,47.52,28,24.3,19.8,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002184606392680263
250,matrix_conceptor,47.52,28,24.3,16.2,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0020696176348763123
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002303716999066524
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.0125,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021934852795032086
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.0075,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002223332191095234
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.005625,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021529225065152176
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021944299580012806
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,1.15,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002538464817336709
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,1.0499999999999998,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023086451374298217
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002798552934685272
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.65,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0029303109300940827
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.5499999999999999,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023375189812498897
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023929677463869984
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.0003247695,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023346764287403613
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00026572049999999995,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023906115400044487
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002865573806577396
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.007471302299999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0020699533724268587
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.006112883699999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022408427632647407
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,9.900000000000001e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002342454738749016
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,0.0001089,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0032621137264067118
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,8.910000000000001e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002271330245872893
250,matrix_conceptor,47.52,28,24.3,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023241478235129743
