N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,900.0,1900,500,7.290000000000001e-05,0.01,1.2,0.6,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.0025966801173620897
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.011,1.2,0.6,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.0022049739980381554
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.009000000000000001,1.2,0.6,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.002137675304817055
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.01,1.25,0.6,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.002177508726395864
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.01,1.15,0.6,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.0022726948828181905
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.01,1.0999999999999999,0.6,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.0028936146602555205
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.01,1.0999999999999999,0.7,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.0023422190786839166
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.01,1.0999999999999999,0.5,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.002009532299420912
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.01,1.0999999999999999,0.4,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.0025720665716316778
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.01,1.0999999999999999,0.4,0.5,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.0020078676651609406
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.01,1.0999999999999999,0.4,0.30000000000000004,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.0030114564500644224
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,223.93528343634225,1258.9254117941675,1000,1900,500,7.290000000000001e-05,0.01,1.0999999999999999,0.4,0.4,0.0001089,0.0005445,../res/2025-01-24 11:17:46__500.csv,3,5,0.002847300779962502
