N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.0001185921,0.00036449999999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0021037818770060154
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00036449999999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.002629236484461968
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00040094999999999996,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0027628620489546125
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00032805,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.002698699047676531
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0027082662181109416
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,8.019000000000002e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.002867573369106342
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,6.561e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0027309412843992934
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.002899987234782557
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,70.3125,56.25,117.1875,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.00285899854164341
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,42.1875,56.25,117.1875,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0030338344977927797
