N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.35000000000000003,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026818739980450585
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002972906773977266
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.7,0.000121,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002600367032541959
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.7,9.900000000000001e-05,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002620230275939074
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.7,0.00011,0.00055,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.00288050840667227
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.7,0.00011,0.00045,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002827817817811791
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.91e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028332789971645318
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,7.290000000000001e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0032210078186334333
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.019000000000002e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026353704489094315
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.820900000000002e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002619926224374065
