Narrowcastingfunctie;Het ondersteunen van het publiceren van informatie via audiovisuele displays naar specifieke doelgroepen;Narrowcastingsysteem
Objectidentificatiefunctie;Het ondersteunen van de toewijzing en het beheer van identificaties van objecten;Objectidentificatiesysteem
Onderwijsaanbodgegevensbeheer;Het beheren van gegevens over het onderwijsaanbod;Studentinformatiesysteem
Onderwijsplanningsfunctie;Het ondersteunen van het koppelen van onderwijsaanbod aan deelnemers;Studentinformatiesysteem
Onderzoekgegevensversioneringfunctie;Het bewaren van versies van (delen van) onderzoeksgegevenssets en bijbehorende metadata.;Onderzoeksgegevensbeheersysteem
Onderzoeksdatagovernancefunctie;Het beheren en afdwingen van licentievoorwaarden van onderzoeksgegevens.;Onderzoeksgegevensbeheersysteem
Onderzoeksdisseminatiebeheer;Het ondersteunen van het dissemineren van resultaten van een onderzoek;Onderzoeksdisseminatierepository
Onderzoeksfinancieringfunctie;Het ondersteunen van de financiering van onderzoeken;Onderzoekssubsidieaanvraagsysteem
Onderzoeksgegevensarchiveringsfunctie;Het ondersteunen van het archiveren van onderzoeksgegevens;Onderzoeksgegevensarchief
Onderzoeksgegevensbeheerfunctie;Het beheren van onderzoeksgegevens tijdens de uitvoering van het onderzoek;Onderzoeksgegevensbeheersysteem
Onderzoeksgegevenscreatiefunctie;Het ondersteunen van het creëren van onderzoeksgegevens;Onderzoeksmeetsysteem
Onderzoeksgegevenspreservatiefunctie;Het ondersteunen van het preserveren van onderzoeksgegevens.;Onderzoeksgegevensarchief
Onderzoeksgegevensverzamelfunctie;Het ondersteunen van het verzamelen van onderzoeksgegevens;
Onderzoeksmanagementfunctie;Het ondersteunen van het managen van een onderzoek.;Onderzoeksinformatiesysteem
Onderzoeksobjectverwervingsfunctie;Het ondersteunen van het verwerven van objecten van onderzoek;
Onderzoeksplanningsfunctie;Het ondersteunen van het plannen van een onderzoek.;Onderzoeksinformatiesysteem
Onderzoeksregistratiefunctie;Het ondersteunen van het registreren van gegevens over onderzoeken;Onderzoeksinformatiesysteem
Onderzoeksvergunningsverwervingsfunctie;Het ondersteunens van het verwerven van vergunningen voor onderzoek;Onderzoeksinformatiesysteem
Plagiaatdetectiefunctie;Het ondersteunen van het detecteren van plagiaat;Plagiaatdetectiesysteem
Portaalfunctie;Het bieden van een persoonlijke omgeving aan gebruikers;"Portaal
Research Data Platform
Virtual Research Environment"
Portfoliomanagementfunctie;Het ondersteunen van het bepalen en sturen van portfolio's van assets en veranderingen;Project Programma en Portfoliomanagement systeem
Preserveringsfunctie;Het ondersteunen van het langdurig preserveren van gegevens;E-Depot
Procurementfunctie;Het ondersteunen van het beheren van productinkopen;Inkoopsysteem
Programmamanagementfunctie;Het ondersteunen van het bepalen en sturen van programma's;Project Programma en Portfoliomanagement systeem
Projectmanagementfunctie;Het ondersteunen van het bepalen en sturen van projecten;Project Programma en Portfoliomanagement systeem
Promotievolgfunctie;Het ondersteunen van het volgen van de voortgang van promoties;Promotievolgysteem
Rapportagefunctie;Het bieden van een integraal en historisch beeld van gegevens;Managementinformatiesysteem
Relatiegegevensbeheer;Het beheren van gegevens over relaties;CRM systeem
Research Playground;Het deel van de VRE waar het analytische en data-crunchende deel van het onderzoek plaatsvindt.;Virtual Research Environment
Roosterconstructiefunctie;Het ondersteunen van het maken van roosters op basis van de beschikbaarheid van middelen;Roostersysteem
Roosterpublicatiefunctie;Het beheren, waaronder publiceren, van roostergegevens;Roostersysteem
Roosterwijzigingsfunctie;Het beheren en communiceren van roosterwijzigingen;Roostersysteem
Salarisverwerkingsfunctie;Het ondersteunen van het uitbetalen van salarissen aan medewerkers;Salarisverwerkingssysteem
Samenwerkingsfunctie;Het ondersteunen van het creëren en delen van gezamenlijke kennis;Samenwerkingssysteem
Servicemanagementfunctie;Het ondersteunen van de interne dienstverlening (servicemanagement);Servicemanagementsysteem
Software-ontwerpfunctie;Het ondersteunen van het ontwerpen van software;Software-ontwikkelomgeving
Softwarebeheerfunctie;Het ondersteunen van het beheren van software;Software-ontwikkelomgeving
Softwaredeploymentfunctie;Het ondersteunen van het deployen van software;Software-ontwikkelomgeving
Softwarerealisatiefunctie;Het ondersteunen van het realiseren van software;Software-ontwikkelomgeving
Sollicitatiegegevensbeheer;Het beheren van gegevens over sollicitaties;Personeelssysteem
Stageplaatsmatchingfunctie;Het ondersteunen van het matchen van vraag en aanbod van stageplaatsen en van afstudeertrajecten;Stagesysteem
Stagetrajectgegevensbeheer;Het beheren van gegevens over stage- en afstudeertrajecten en de voortgang daarvan;Stagesysteem
Studieinschrijffunctie;Het ondersteunen van het aanmelden, inschrijven en uitschrijven van deelnemers voor deelname aan (delen van) het onderwijsaanbod;Studentinformatiesysteem
Studievolgfunctie;Het ondersteunen van het volgen en begeleiden van deelnemers;Studentinformatiesysteem
Tijdregistratiefunctie;Het beheren van gegevens over de besteding van tijd van individuen;Tijdregistratiesysteem
Toetsbeoordelingsfunctie;Het ondersteunen van het beoordelen van gemaakte toetsen;Digitaal toetssysteem
Toetsuitvoeringsfunctie;Het ondersteunen van het toetsen van deelnemers;Digitaal toetssysteem
Toetsvoorbereidingsfunctie;Het ondersteunen van het voorbereiden van toetsactiviteiten;Digitaal toetssysteem
Vacaturegegevensbeheer;Het beheren van gegevens over vacatures;Personeelssysteem
Vault;Biedt de mogelijkheid om versies van gegevensworkflows, algoritmen en indien nodig (subsets van) gegevens op te slaan.;Virtual Research Environment
Verlofgegevensbeheer;Het beheren van gegevens over verlof;Personeelssysteem
Vermogensgegevensbeheer;Het beheren van gegevens over vermogen;Financieel systeem
Videomanagementfunctie;Het ondersteunen van het opnemen, beheren en publiceren van video's;Videomanagementsysteem
Videostreamingfunctie;Het ondersteunen van het streamen van hoge kwaliteit video;Videostreamingsysteem
Webcontentmanagementfunctie;Het ondersteunen van het beheren en publiceren van web content;Web content management systeem
Wetenschappelijke zoekfunctie;Het ondersteunen van het doorzoeken van alle interne en externe wetenschappelijke content;Wetenschappelijke zoekmachine
Ziektegegevensbeheer;Het beheren van gegevens over ziekte;Personeelssysteem
Zoekfunctie;Het zoeken naar gegevens in een afgebakend informatiedomein.;Zoekmachine
