n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,24.057000000000002,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.00216806654078475
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,26.4627,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0017193854377403547
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,29.108970000000003,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018068536094892453
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,29.108970000000003,133.65,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.001724356848944612
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,29.108970000000003,109.35,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0023001771071335603
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,29.108970000000003,120.285,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0020719285061747985
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,29.108970000000003,132.3135,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018318082822427544
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018511323913214673
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,22.0,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018774837912678677
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,18.0,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021227144236809752
3000,500,0.03515625000000001,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019127210865882917
3000,500,0.02109375,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002068405266576671
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002220542611670008
3000,500,0.0263671875,0.405,7.031250000000001e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019089067074989532
3000,500,0.0263671875,0.405,4.21875e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0022421137023658283
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.2000000000000002,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021246567359958
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.0,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002137787772789213
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000649539,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018405814985583747
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005314409999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0017501968276767254
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004782968999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0014876285805067951
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018635931228287313
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.008019000000000002,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002088654727691155
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.006561000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0020981652732675526
3000,500,0.0263671875,0.4455,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0020460368356605167
