N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,6.561e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0021688643641099596
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0028962455729159274
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.00055,../res/RFC_MAANDAG__500.csv,3,5,0.0025656510301723156
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.00045,../res/RFC_MAANDAG__500.csv,3,5,0.00254313699773992
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.00011,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0023384196074917574
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,9e-05,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0026985185586016398
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,9.900000000000001e-05,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0025397288056659617
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002705965081671621
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,62.5,50,50,59.895,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002361699018039257
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,37.5,50,50,59.895,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0027049247685278165
