n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sr,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,rfc_type,max_n_features,verbose,experiment_name,cycles,n_rep,nrmse
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,324.0,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.007494369568530057
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,324.0,1158.3,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.00854500618357078
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,324.0,947.7,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.006625645045385422
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,324.0,852.9300000000001,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.006433177448423845
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,324.0,767.6370000000001,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.008689974426566004
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,324.0,767.6370000000001,561.33,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.0076324245012639414
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,324.0,767.6370000000001,459.27,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.007696809500040716
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,324.0,767.6370000000001,413.34299999999996,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.011762605995596807
400,500,0.01171875,0.6561000000000001,0.01,970.2990000000001,324.0,767.6370000000001,413.34299999999996,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.009727777962267429
400,500,0.007031249999999999,0.6561000000000001,0.01,970.2990000000001,324.0,767.6370000000001,413.34299999999996,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.007532360573634402
400,500,0.009375,0.6561000000000001,0.0125,970.2990000000001,324.0,767.6370000000001,413.34299999999996,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.005840685017062723
400,500,0.009375,0.6561000000000001,0.0075,970.2990000000001,324.0,767.6370000000001,413.34299999999996,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.0034758626581797235
400,500,0.009375,0.6561000000000001,0.005625,970.2990000000001,324.0,767.6370000000001,413.34299999999996,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.01461452336234461
