N,M,rfc_type,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,180.0,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002804102410470063
250,500,matrix_conceptor,120.0,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.003319806202579613
250,500,matrix_conceptor,150,60.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002844414144275275
250,500,matrix_conceptor,150,40.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002863993569173188
250,500,matrix_conceptor,150,32.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0025965048191279095
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0029720261461518714
250,500,matrix_conceptor,150,25.6,49.152,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002920163855986245
250,500,matrix_conceptor,150,25.6,32.768,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002858469366648927
250,500,matrix_conceptor,150,25.6,40.96,72.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002923693419145266
250,500,matrix_conceptor,150,25.6,40.96,48.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0030447357483717923
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.008019000000000002,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0027536277591654426
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.006561000000000001,1.25,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0030023277080698406
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.3,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.003156782061940394
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.2,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0027778510272195205
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.15,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0029849219217714315
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.15,0.75,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0024577506489374215
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.15,0.6499999999999999,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0030141423863784917
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.15,0.7,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0026716475276484736
250,500,matrix_conceptor,150,25.6,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.15,0.75,8.645364089999999e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0022899590612511945
