N,M,rfc_type,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.75,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.002581431931592459
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0031622021044634733
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011,0.000405,0.45,../res/2025-01-28 14:15:38_250.csv,3,5,0.0027270591617172277
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011,0.000405,0.35000000000000003,../res/2025-01-28 14:15:38_250.csv,3,5,0.003160348168497184
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.003054484006274455
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011,0.000405,0.45,../res/2025-01-28 14:15:38_250.csv,3,5,0.0029644219313911453
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011,0.000405,0.5,../res/2025-01-28 14:15:38_250.csv,3,5,0.002922699512919938
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0029362973670492842
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.000121,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.002949508986660121
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,9.900000000000001e-05,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.003221786491984826
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.0001089,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0028446271820368844
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0030781272031136105
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.0004455,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0029010829194721925
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.00036449999999999997,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0030096899297399867
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.91e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0029679997418646125
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,7.290000000000001e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0030093843278606383
250,500,matrix_conceptor,62.5,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0027382570003044297
250,500,matrix_conceptor,37.5,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.003233743324427939
250,500,matrix_conceptor,46.875,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0032519110053830886
250,500,matrix_conceptor,46.875,10.546875,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.003177675576780871
250,500,matrix_conceptor,46.875,6.328125,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.003145367779704119
250,500,matrix_conceptor,46.875,8.4375,43.75,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0027131332300178597
250,500,matrix_conceptor,46.875,8.4375,26.25,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0030462693984883936
250,500,matrix_conceptor,46.875,8.4375,19.6875,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.002845726670444939
250,500,matrix_conceptor,46.875,8.4375,14.765625,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0028855766776727117
250,500,matrix_conceptor,46.875,8.4375,14.765625,22.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.7,0.00011979,0.000405,0.55,../res/2025-01-28 14:15:38_250.csv,3,5,0.0029046029526682664
