N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.10000000000000003,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.0026054326998635286
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,9.702990000000003e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.0029790345997416606
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.938810000000001e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.002300916243724181
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.0029247936421254923
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.00044104499999999994,../res/2025-01-23 16:43:22__500.csv,2,20,0.002793691147698824
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.000360855,../res/2025-01-23 16:43:22__500.csv,2,20,0.0032626383619203505
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0003969405,../res/2025-01-23 16:43:22__500.csv,2,20,0.0032420653981163256
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.00043663455,../res/2025-01-23 16:43:22__500.csv,2,20,0.002841576650146713
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.000480298005,../res/2025-01-23 16:43:22__500.csv,2,20,0.0024627439596691006
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.9049e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0032834552043764487
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,6.495390000000001e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0027503084255021443
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,5.3144100000000005e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0025211972982437957
500,1,matrix_conceptor,225.0,31.640625,112.5,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0027892235235660217
500,1,matrix_conceptor,281.25,31.640625,112.5,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0029368055495295206
500,1,matrix_conceptor,168.75,31.640625,112.5,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0030756073434850934
500,1,matrix_conceptor,225.0,39.55078125,112.5,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0025361748552956836
500,1,matrix_conceptor,225.0,23.73046875,112.5,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.002510936113936909
500,1,matrix_conceptor,225.0,17.7978515625,112.5,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.002223753312712006
500,1,matrix_conceptor,225.0,13.348388671875,112.5,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0019337406116749227
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.002049938490663879
