N,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,matrix_conceptor,810.0,291.6,1300,567.0,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0017669015687457484
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.00213387643288502
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.011,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0017790125138905603
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.009000000000000001,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018642530876702558
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.008100000000000001,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018344374736393482
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0021480248741024646
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1500000000000001,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0024531306804885106
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.05,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0019220646256175116
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,1.1,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0019788458739845396
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,0.9,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.002229859353943995
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,0.8,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.002416502953038327
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,0.8,0.00032476949999989,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0020071902302726515
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,0.8,0.00026572049999991,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.002541239464965025
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,0.8,0.000239148449999919,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.00185560945317189
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.002167271068528151
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0073965892770000005,../res/2025-01-22 12:50:36__500.csv,3,5,0.001851483069097774
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.006051754863,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018268933228460932
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.000131769,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0020223114147247334
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.0001449459,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018769998002137855
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.0001185921,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018652850088451637
500,matrix_conceptor,810.0,291.6,1300,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.002004675212934475
500,matrix_conceptor,891.0,291.6,1300,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0019337013511475057
500,matrix_conceptor,729.0,291.6,1300,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.002443876145251506
500,matrix_conceptor,801.9,291.6,1300,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0020069529233781645
500,matrix_conceptor,882.0899999999999,291.6,1300,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0022849679912388004
500,matrix_conceptor,882.0899999999999,320.76000000000005,1300,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.002019571241163536
500,matrix_conceptor,882.0899999999999,262.44,1300,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018923235636541767
500,matrix_conceptor,882.0899999999999,236.196,1300,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0017398317079981428
500,matrix_conceptor,882.0899999999999,212.5764,1300,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0019371432042786531
500,matrix_conceptor,882.0899999999999,212.5764,1430.0,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0019023007047930507
500,matrix_conceptor,882.0899999999999,212.5764,1170.0,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0021446159962805215
500,matrix_conceptor,882.0899999999999,212.5764,1053.0,510.3,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.002589505475498488
500,matrix_conceptor,882.0899999999999,212.5764,1053.0,561.33,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018534968334798375
500,matrix_conceptor,882.0899999999999,212.5764,1053.0,459.27,1916,500,0.00010673289,0.007290000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0025419591919585718
500,matrix_conceptor,882.0899999999999,212.5764,1053.0,510.3,1916,500,0.00010673289,0.008019000000000002,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.001952985221264059
500,matrix_conceptor,882.0899999999999,212.5764,1053.0,510.3,1916,500,0.00010673289,0.006561000000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018122602631713038
500,matrix_conceptor,882.0899999999999,212.5764,1053.0,510.3,1916,500,0.00010673289,0.005904900000000001,1.1,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.002002107528666454
500,matrix_conceptor,882.0899999999999,212.5764,1053.0,510.3,1916,500,0.00010673289,0.005904900000000001,1.1500000000000001,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.001721848196547096
500,matrix_conceptor,882.0899999999999,212.5764,1053.0,510.3,1916,500,0.00010673289,0.005904900000000001,1.05,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0020875266399951694
500,matrix_conceptor,882.0899999999999,212.5764,1053.0,510.3,1916,500,0.00010673289,0.005904900000000001,1.0,0.8,0.00021523360499992711,0.0054465793767,../res/2025-01-22 12:50:36__500.csv,3,5,0.0019303527334116727
