n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,1000,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00034663587318855,0.00567,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0024657243893426305
3000,500,0.0084375,0.23383403999999997,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.00289357195530693
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,750,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000311972285869695,0.0062369999999999995,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0023909677086573706
3000,500,0.0084375,0.25721744399999996,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0025627337205589187
3000,500,0.0084375,0.2829391884,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002287588165125943
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,750,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000311972285869695,0.005103,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.001748868407591363
3000,500,0.0084375,0.31123310724,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002199445479573342
3000,500,0.0084375,0.34235641796399996,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0025176474882117076
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,750,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000311972285869695,0.0045927,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0023939831996556775
3000,500,0.0084375,0.34235641796399996,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,62.5,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0023508603761363627
